Barcode,Article,Percentage,OriginalPrice
FL192215-008,FL192215,50,
FL192215-009,FL192215,50,
FL192215-010,FL192215,50,
FL192215-011,FL192215,50,
FL196056-005,FL196056,50,
FL196056-006,FL196056,50,
FL196056-007,FL196056,50,
FL196056-008,FL196056,50,
FL196056-009,FL196056,50,
FL196056-010,FL196056,50,
FL196056-011,FL196056,50,
FL196060-005,FL196060,50,
FL196060-006,FL196060,50,
FL196060-007,FL196060,50,
FL196060-008,FL196060,50,
FL196060-009,FL196060,50,
FL196060-010,FL196060,50,
FL196060-011,FL196060,50,
FL196062-005,FL196062,50,
FL196062-006,FL196062,50,
FL196062-007,FL196062,50,
FL196062-008,FL196062,50,
FL196062-009,FL196062,50,
FL196062-010,FL196062,50,
FL196062-011,FL196062,50,
FL196345-025,FL196345,50,
FL196345-027,FL196345,50,
FL196345-029,FL196345,50,
FL196345-031,FL196345,50,
FL196345-032,FL196345,50,
FL196345-034,FL196345,50,
FL196603-005,FL196603,50,
FL196603-006,FL196603,50,
FL196603-007,FL196603,50,
FL196603-008,FL196603,50,
FL196603-009,FL196603,50,
FL196603-010,FL196603,50,
FL196603-011,FL196603,50,
FL196939-005,FL196939,50,
FL196939-006,FL196939,50,
FL196939-007,FL196939,50,
FL196939-008,FL196939,50,
FL196939-009,FL196939,50,
FL196939-010,FL196939,50,
FL196939-011,FL196939,50,
FL197369-005,FL197369,50,
FL197369-006,FL197369,50,
FL197369-007,FL197369,50,
FL197369-008,FL197369,50,
FL197369-009,FL197369,50,
FL197369-010,FL197369,50,
FL197369-011,FL197369,50,
FL197370-005,FL197370,50,
FL197370-006,FL197370,50,
FL197370-007,FL197370,50,
FL197370-008,FL197370,50,
FL197370-009,FL197370,50,
FL197370-010,FL197370,50,
FL197370-011,FL197370,50,
FL197373-005,FL197373,50,
FL197373-006,FL197373,50,
FL197373-007,FL197373,50,
FL197373-008,FL197373,50,
FL197373-009,FL197373,50,
FL197373-010,FL197373,50,
FL197373-011,FL197373,50,
FL197376-005,FL197376,50,
FL197376-006,FL197376,50,
FL197376-007,FL197376,50,
FL197376-008,FL197376,50,
FL197376-009,FL197376,50,
FL197376-010,FL197376,50,
FL197376-011,FL197376,50,
FL197377-005,FL197377,50,
FL197377-006,FL197377,50,
FL197377-007,FL197377,50,
FL197377-008,FL197377,50,
FL197377-009,FL197377,50,
FL197377-010,FL197377,50,
FL197377-011,FL197377,50,
FL197386-005,FL197386,50,
FL197386-006,FL197386,50,
FL197386-007,FL197386,50,
FL197386-008,FL197386,50,
FL197386-009,FL197386,50,
FL197386-010,FL197386,50,
FL197386-011,FL197386,50,
FL197862-005,FL197862,50,
FL197862-006,FL197862,50,
FL197862-007,FL197862,50,
FL197862-008,FL197862,50,
FL197862-009,FL197862,50,
FL197862-010,FL197862,50,
FL197862-011,FL197862,50,
FL198171-005,FL198171,50,
FL198171-006,FL198171,50,
FL198171-007,FL198171,50,
FL198171-008,FL198171,50,
FL198171-009,FL198171,50,
FL198171-010,FL198171,50,
FL198171-011,FL198171,50,
FL198818-005,FL198818,50,
FL198818-006,FL198818,50,
FL198818-007,FL198818,50,
FL198818-008,FL198818,50,
FL198818-009,FL198818,50,
FL198818-010,FL198818,50,
FL198818-011,FL198818,50,
FL198819-005,FL198819,50,
FL198819-006,FL198819,50,
FL198819-007,FL198819,50,
FL198819-008,FL198819,50,
FL198819-009,FL198819,50,
FL198819-010,FL198819,50,
FL198819-011,FL198819,50,
FL198822-005,FL198822,50,
FL198822-006,FL198822,50,
FL198822-007,FL198822,50,
FL198822-008,FL198822,50,
FL198822-009,FL198822,50,
FL198822-010,FL198822,50,
FL198822-011,FL198822,50,
FL198823-005,FL198823,50,
FL198823-006,FL198823,50,
FL198823-007,FL198823,50,
FL198823-008,FL198823,50,
FL198823-009,FL198823,50,
FL198823-010,FL198823,50,
FL198823-011,FL198823,50,
